Clinical Information,Bibliographic Information,,,,,,Recording Information,,,Analysis Information,,Dataset Information,,,,Method Information,,,,Results Information,,,,,,,,
Disorder,Authors,Year,Month,DOI,Title,Journal,Data,Analyzed Data,Amount of Data,Design,Analysis,# Patients,Patient Ages,# Control,Control Ages,Fit Method,Fit Range,Report Settings,Report GOF,Clinical EXP,Control EXP,Reported Finding for Aperiodic Exponent,Report Effects Size,Effect Size Measure,Effects Size,Biomarker,Interpretation,Notes
,,Attention Deficit Hyperactivity Disorder (ADHD),,,,,,,,,,,,,,,,,,,,,,,,,,
ADHD,Pertermann et al,2019,8,10.1016/j.bpsc.2019.03.011,The Modulation of Neural Noise Underlies the Effectiveness of Methylphenidate Treatment in Attention-Deficit/Hyperactivity Disorder,Biological Psychiatry: Cognitive Neuroscience and Neuroimaging,EEG,task,1s,between,diagnostic,29,9.9 +/- 2.1,32,11.6 +/- 2.1,regression,0.5-20,-,-,unclear,unclear,"⬇︎ clinical vs. control ⬆︎ on vs. off medication",no,-,-,no,neural noise,"Measurement is a little unclear - is a “neural noise” indicator, with not-obvious values. Uses a Go/NoGo task. The lower exponent is specific to NoGo trials (not overall). Fit range seems to be 0.5-20 Hz. Use an alpha exclusion in their fit."
ADHD,Robertson et al,2019,10,10.1152/jn.00388.2019,EEG Power Spectral Slope differs by ADHD status and stimulant medication exposure in early childhood,Journal of Neurophysiology,EEG,resting,7m,between,"diagnostic treatment",76,5.64 +/- 1.22,78,5.65 +/- 1.23,specparam,4-50,no,no,1.67 +/- 0.27,1.51 +/- 0.32,"⬆︎ clinical vs. control ⬇︎ medicated vs unmedicated",yes,eta-squared,0.088,yes,E/I ratio,Are multiple datasets / subsets included and analyzed. Also show that medicated ADHD have exponents equal to control.
ADHD,Ostlund et al,2021,4,10.1016/j.dcn.2021.100931,Behavioral and cognitive correlates of the aperiodic (1/f-like) exponent of the EEG power spectrum in adolescents with and without ADHD,Developmental Cognitive Neuroscience,EEG,resting,8m,between,diagnostic,87,13.93 +/- 1.45,97,13.97 +/- 1.28,specparam,2-50,yes,no,unclear,unclear,⬇︎ clinical vs. control,no,-,-,no,E/I ratio,"Also report that exponent relates to reaction time variability, but not in the expected direction."
ADHD,"Arnett, Rutter et al",2022,5,10.3389/fnbeh.2022.887622,Neural Markers of Methylphenidate Response in Children With Attention Deficit Hyperactivity Disorder,Frontiers in Behavioral Neuroscience,EEG,video,2m,between,diagnostic,29,10.09 +/- 1.41,30,9.53 +/- 1.32,specparam,1-50,yes,no,unclear,unclear,⬇︎ clinical [non-responders],no,-,-,yes,oscillations,ADHD subjects are split into medicated and unmedicated. The difference in drug non-responders is to both controls & clinical drug responders.
ADHD,"Arnett, Fearey et al",2022,12,10.1111/jcpp.13645,Absence of dynamic neural oscillatory response to environmental conditions marks childhood attention deficit hyperactivity disorder,The Journal of Child Psychology and Psychiatry,EEG,video,3m,between,diagnostic,88,9.46 +/- 1.38,29,8.83 +/- 1.23,specparam,1-50,yes,no,unclear,unclear,⬇︎ clinical [condition specific],no,-,-,yes,integration,"Also compare between medicated (n=56) vs unmedicated (n=32). The decreased exponent is in both ADHD groups, and is specific to a lights off condition (compared to a lights on condition). The interpretation appears is based on thinking of aperiodic activity as reflecting the “relative balance between slower and faster oscillations”."
ADHD,"Arnett, Peisch et al",2022,12,10.1152/jn.00295.2022,The role of aperiodic spectral slope in event-related potentials and cognition among children with and without attention deficit hyperactivity disorder,Journal of Neurophysiology,EEG,baseline,500ms,between,diagnostic,82,9.67 +/- 1.42,28,9.33 +/- 1.33,specparam,1-50,yes,no,unclear,unclear,⬇︎ clinical vs. control,no,-,-,yes,oscillations,Uses pre-stimulus data from during a task. Analyze the relationship between aperiodic and task. Magnitude of the group difference appears to be small: reported as 0.08 Also report a difference between groups on effect of experiment (differences between east and hard conditions). The abstract and methods report different sample sizes - unclear why.
ADHD,Karalunas et al,2022,4,10.1002/dev.22228,Electroencephalogram aperiodic power spectral slope can be reliably measured and predicts ADHD risk in early development,Developmental Psychobiology,EEG,resting,"8m 3m","between within","diagnostic at risk","107 69","14.0 +/- 1.4 0.11 +/- 0.03",152,14.1 +/- 1.3,specparam,"2-50 1-30",yes,no,unclear,unclear,"⬇︎ ~ADHD diagnosis [teens] ⬆︎ ~ADHD history [infants]",no,-,-,yes,E/I ratio,Paper also analyses internal consistency of exponent estimates - reports good to excellent consistency. Two different datasets - infants (n=69) & adolescents (n=262). Fit ranges: 1-30 Hz (infant); 2-50 Hz (teen). Paper jumps back and forth between ‘slope’ and ‘exponent’ terminology.
ADHD,Tröndle et al,2022,8,10.7554/eLife.77571,Decomposing the role of alpha oscillations during brain maturation,eLife,EEG,resting,4m 20s,between,diagnostic,1038,unclear,732,10.07 +/- 3.39,specparam,2-40,yes,yes,unclear,unclear,∅ clinical vs. control,no,-,-,no,E/I ratio,"Paper analyzes a very large dataset with a goal of analyzing age / developmental effects, and also includes some analyses of subjects in the dataset with diagnoses. The age of the ADHD participants specifically is not reported. Also includes a second validation dataset (n=369)."
ADHD,"Dakwar-Kawar, Mairon et al",2023,8,10.1038/s41398-023-02547-7,"Transcranial random noise stimulation combined with cognitive training for treating ADHD: a randomized, sham-controlled clinical trial",Translational Psychiatry,EEG,resting,5m,between,treatment,23,9.25 +/- 1.42,-,-,specparam,1-40,no,no,-,-,⬇︎ w stimulation [tRNS],no,-,-,no,E/I ratio,"Paper is about investigating transcranial random noise stimulation & cognitive training as potential treatments for ADHD. ADHD participants are unmedicated. Analyses are between clinical group with active treatment vs. clinical group with sham treatment. Also report that the treatments did improve clinical ADHD symptoms. The exponent change is trending (significant for a one-sided test, not for a two-sided test). "
